# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  2 11:43:16 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_facility like '%K2%')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_facility,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
K2-113,b,K2-113 b,5.81768500,0.00004100,-0.00004100,0,0.064200,0.000900,-0.000900,0,,,,0,,,,0,,,,0,,1.083,0.031,-0.031,0,,,,0,0,01h17m47.83s,19.449286,+06d52m08.0s,6.868895,649.75,13.49,-13.49,0,13.684,0.030,0,V (Johnson),13.504,,0,5660.00,87.00,-87.00,0,1.04,0.04,-0.04,0,1.24,0.03,-0.03,0,2457398.704330,0.000300,-0.000300,0,K2,4.27,0.03,-0.03,0,,,,0
K2-114,b,K2-114 b,11.39101300,0.00022400,-0.00022500,0,0.095400,0.001100,-0.001100,0,,,,0,,,,0,,,,0,,0.952,0.032,-0.032,0,,,,0,0,08h31m31.91s,127.882965,+11d55m20.2s,11.922265,484.80,7.97,-7.97,0,14.556,0.020,0,V (Johnson),14.275,,0,5044.00,68.00,-68.00,0,0.89,0.03,-0.03,0,0.84,0.02,-0.02,0,2457151.714930,0.000690,-0.000690,0,K2,4.54,0.03,-0.03,0,,,,0
K2-115,b,K2-115 b,20.27261500,0.00035600,-0.00034300,0,0.143000,0.001200,-0.001200,0,,,,0,,,,0,,,,0,,1.076,0.020,-0.020,0,,,,0,0,08h26m12.83s,126.553444,+12d16m55.0s,12.281936,418.58,4.20,-4.20,0,13.362,0.010,0,V (Johnson),13.200,,0,5657.00,60.00,-60.00,0,0.95,0.02,-0.02,0,0.88,0.01,-0.01,0,2457157.158040,0.000490,-0.000500,0,K2,4.53,0.02,-0.02,0,,,,0
K2-116,b,K2-116 b,4.65541100,0.00048600,-0.00047300,0,0.048000,0.002000,-0.002000,0,0.060000,0.141966,-0.053272,0,89.090,0.620,-0.710,0,,,,0,,0.062,0.004,-0.004,0,,,,0,0,22h24m36.39s,336.151611,-11d34m43.3s,-11.578691,49.46,0.12,-0.12,0,10.910,0.101,0,V (Johnson),10.328,,0,4348.35,86.10,-87.78,0,0.69,0.07,-0.07,0,0.67,0.03,-0.03,0,2456979.948000,0.004000,-0.004000,0,K2,,,,0,,,,0
K2-117,b,K2-117 b,1.29160000,0.00004900,-0.00005100,0,0.018900,0.000100,-0.000100,0,,,,0,,,,0,,,,0,,0.181,0.009,-0.009,0,,,,0,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,101.95,0.37,-0.37,0,14.655,0.060,0,V (Johnson),13.801,,0,3778.00,53.00,-53.00,0,0.54,0.01,-0.01,0,0.51,0.01,-0.01,0,2457142.774520,0.001620,-0.001580,0,K2,4.75,0.01,-0.01,0,,,,0
K2-117,c,K2-117 c,5.44401700,0.00046200,-0.00045500,0,0.049200,0.000300,-0.000300,0,,,,0,,,,0,,,,0,,0.184,0.011,-0.011,0,,,,0,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,101.95,0.37,-0.37,0,14.655,0.060,0,V (Johnson),13.801,,0,3778.00,53.00,-53.00,0,0.54,0.01,-0.01,0,0.51,0.01,-0.01,0,2457143.566300,0.003580,-0.003520,0,K2,4.75,0.01,-0.01,0,,,,0
K2-118,b,K2-118 b,50.92092000,0.00558400,-0.00524900,0,0.245000,0.008000,-0.008000,0,0.200000,0.183774,-0.159064,0,89.500,0.240,-0.120,0,,,,0,,0.227,0.021,-0.018,0,,,,0,0,08h48m30.45s,132.126892,+15d39m21.5s,15.655983,324.70,3.80,-3.80,0,14.049,0.050,0,V (Johnson),13.748,,0,4726.29,142.64,-127.34,0,0.76,0.08,-0.08,0,0.73,0.05,-0.04,0,2457160.473000,0.004000,-0.004000,0,K2,,,,0,,,,0
K2-119,b,K2-119 b,7.72728300,0.00126800,-0.00114900,0,0.069800,0.000600,-0.000600,0,,,,0,,,,0,,,,0,,0.226,0.018,-0.018,0,,,,0,0,08h48m02.34s,132.009735,+16d54m06.7s,16.901854,369.66,4.16,-4.16,0,14.883,0.040,0,V (Johnson),14.510,,0,4740.00,100.00,-100.00,0,0.76,0.02,-0.02,0,0.71,0.01,-0.01,0,2457148.831060,0.004990,-0.005400,0,K2,4.62,0.01,-0.01,0,,,,0
K2-12,b,K2-12 b,8.28212000,0.00060000,-0.00060000,0,0.080200,0.002100,-0.002100,0,,,,,,,,,,,,,,0.208,0.052,-0.052,0,,,,,0,11h32m46.09s,173.192032,+02d14m41.6s,2.244884,329.36,6.23,-6.23,0,12.258,0.010,0,V (Johnson),12.088,,0,5800.00,53.00,-90.00,0,1.01,0.05,-0.06,0,1.01,0.27,-0.09,0,2456815.373400,0.005400,-0.005400,0,K2,,,,,,,,
K2-120,b,K2-120 b,9.56274200,0.00067500,-0.00067300,0,0.078000,0.003000,-0.003000,0,0.140000,0.168421,-0.105016,0,89.570,0.300,-0.420,0,,,,0,,0.179,0.012,-0.011,0,,,,0,0,08h48m34.32s,132.142990,+17d11m26.5s,17.190685,,,,,14.045,0.020,0,V (Johnson),,,,4349.90,101.62,-96.12,0,0.69,0.07,-0.07,0,0.67,0.04,-0.03,0,2457175.604000,0.002000,-0.002000,0,K2,,,,0,,,,0
K2-121,b,K2-121 b,5.18576100,0.00002900,-0.00003000,0,0.052500,0.000300,-0.000300,0,,,,0,,,,0,,,,0,,0.669,0.012,-0.012,0,,,,0,0,08h27m44.81s,126.936722,+17d34m45.8s,17.579397,170.37,1.08,-1.08,0,13.319,0.030,0,V (Johnson),12.925,,0,4551.00,74.00,-74.00,0,0.72,0.01,-0.01,0,0.68,0.01,-0.01,0,2457143.560420,0.000220,-0.000210,0,K2,4.63,0.01,-0.01,0,,,,0
K2-122,b,K2-122 b,2.21928200,0.00012800,-0.00013000,0,0.028500,0.000200,-0.000200,0,,,,0,,,,0,,,,0,,0.108,0.007,-0.007,0,,,,0,0,08h25m54.31s,126.476311,+20d21m34.5s,20.359570,72.19,0.25,-0.25,0,13.150,0.032,0,V (Johnson),12.371,,0,4027.00,45.00,-45.00,0,0.62,0.01,-0.01,0,0.60,0.01,-0.01,0,2457144.050090,0.002350,-0.002360,0,K2,4.68,0.01,-0.01,0,,,,0
K2-123,b,K2-123 b,30.95152400,0.00362500,-0.00332000,0,0.164900,0.000800,-0.000800,0,,,,0,,,,0,,,,0,,0.246,0.014,-0.014,0,,,,0,0,08h57m46.60s,134.444183,+21d27m12.7s,21.453533,162.36,0.65,-0.65,0,14.781,0.030,0,V (Johnson),14.092,,0,4035.00,52.00,-52.00,0,0.62,0.01,-0.01,0,0.59,0.01,-0.01,0,2457147.497340,0.004380,-0.004890,0,K2,4.69,0.01,-0.01,0,,,,0
K2-124,b,K2-124 b,6.41365100,0.00003600,-0.00003100,0,0.049000,0.002000,-0.002000,0,,,,0,89.030,0.320,-0.270,0,,,,0,,0.259,0.009,-0.009,0,,,,0,0,08h54m33.89s,133.641190,+23d07m58.4s,23.132891,140.40,2.30,-2.30,0,15.105,,0,Kepler-band,15.462,,0,3570.00,63.00,-70.00,0,0.39,0.01,-0.04,0,0.39,0.02,-0.01,0,2457142.181060,0.001050,-0.001070,0,K2,4.86,0.01,-0.09,0,,,,0
K2-125,b,K2-125 b,21.75026400,0.00199000,-0.00195700,0,0.121000,0.004000,-0.005000,0,0.080000,0.161049,-0.066906,0,89.720,0.190,-0.210,0,,,,0,,0.194,0.017,-0.016,0,,,,0,0,13h36m34.11s,204.142120,-14d56m51.4s,-14.947603,124.60,0.83,-0.83,0,16.122,0.068,0,V (Johnson),15.151,,0,3654.47,99.56,-92.33,0,0.49,0.05,-0.06,0,0.40,0.03,-0.03,0,2457243.088000,0.002000,-0.002000,0,K2,,,,0,,,,0
K2-126,b,K2-126 b,7.38565500,0.00050100,-0.00050900,0,0.065600,0.000400,-0.000400,0,,,,0,,,,0,,,,0,,0.176,0.011,-0.011,0,,,,0,0,13h34m11.17s,203.546539,-13d34m36.9s,-13.576928,103.29,0.75,-0.75,0,12.918,0.030,0,V (Johnson),12.401,,0,4339.00,92.00,-92.00,0,0.69,0.01,-0.01,0,0.65,0.01,-0.01,0,2457223.799210,0.002600,-0.002700,0,K2,4.66,0.01,-0.01,0,,,,0
K2-127,b,K2-127 b,3.58816300,0.00002800,-0.00002900,0,0.041100,0.000200,-0.000200,0,,,,0,,,,0,,,,0,,0.747,0.029,-0.029,0,,,,0,0,13h48m18.81s,207.078384,-11d35m20.3s,-11.588979,723.97,16.17,-16.17,0,15.037,0.040,0,V (Johnson),14.787,,0,4575.00,74.00,-74.00,0,0.72,0.01,-0.01,0,0.66,0.01,-0.01,0,2457223.925880,0.000340,-0.000340,0,K2,4.65,0.01,-0.01,0,,,,0
K2-128,b,K2-128 b,5.67581900,0.00041100,-0.00041400,0,0.056000,0.002000,-0.002000,0,0.230000,0.220222,-0.193710,0,87.400,1.080,-0.660,0,,,,0,,0.127,0.014,-0.012,0,,,,0,0,13h37m45.04s,204.437653,-08d35m49.4s,-8.597065,115.01,0.92,-0.92,0,12.627,0.030,0,V (Johnson),12.220,,0,4469.51,171.97,-145.15,0,0.71,0.07,-0.07,0,0.78,0.08,-0.06,0,2457255.503000,0.002000,-0.002000,0,K2,,,,0,,,,0
K2-129,b,K2-129 b,8.23949300,0.00029200,-0.00029100,0,0.057000,0.003000,-0.004000,0,0.130000,0.210105,-0.109504,0,89.210,0.500,-0.480,0,,,,0,,0.093,0.009,-0.008,0,,,,0,0,19h16m35.60s,289.148315,-25d38m41.9s,-25.644964,27.82,0.07,-0.07,0,13.630,0.034,0,V (Johnson),12.462,,0,3459.09,89.05,-83.62,0,0.36,0.07,-0.07,0,0.36,0.03,-0.03,0,2457335.009000,0.001000,-0.001000,0,K2,,,,0,,,,0
K2-13,b,K2-13 b,39.91488000,0.32477000,-0.32477000,0,0.211400,0.006100,-0.006100,0,,,,,,,,,,,,,,0.169,0.085,-0.085,0,,,,,0,11h20m37.33s,170.155533,+02d30m09.7s,2.502696,345.76,4.43,-4.43,0,12.901,0.040,0,V (Johnson),12.739,,0,5698.00,45.00,-82.00,0,0.80,0.04,-0.04,0,0.78,0.09,-0.05,0,2456812.525000,0.014600,-0.014600,0,K2,,,,,,,,
K2-130,b,K2-130 b,2.49412000,0.00013200,-0.00012800,0,0.032000,0.001000,-0.001000,0,0.170000,0.220344,-0.135968,0,86.530,1.920,-1.650,0,,,,0,,0.112,0.018,-0.012,0,,,,0,0,19h21m04.86s,290.270264,-19d41m26.9s,-19.690807,118.41,0.52,-0.52,0,12.759,0.010,0,V (Johnson),12.325,,0,4356.47,196.73,-172.40,0,0.70,0.07,-0.07,0,0.74,0.11,-0.08,0,2457340.612000,0.001000,-0.001000,0,K2,,,,0,,,,0
K2-131,b,K2-131 b,0.36931000,0.00001000,-0.00001000,0,0.009500,0.000000,0.000000,0,,,,0,,,,0,,,,0,,0.152,0.008,-0.004,0,,,,0,0,12h11m00.37s,182.751556,-09d45m54.8s,-9.765218,153.70,1.10,-1.00,0,12.115,0.020,0,V (Johnson),11.900,,0,5245.00,46.00,-52.00,0,0.84,0.01,-0.01,0,0.75,0.01,-0.01,0,2457582.935500,0.001100,-0.001000,0,K2,4.61,0.01,-0.01,0,,,,0
K2-132,b,K2-132 b,9.17510000,0.00230000,-0.00270000,0,,,,0,,,,0,,,,0,0.49000,0.06000,-0.06000,0,Mass,1.300,0.070,-0.070,0,,,,0,0,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,620.41,17.92,-17.92,0,11.897,0.030,0,V (Johnson),11.640,,0,4840.00,90.00,-90.00,0,1.08,0.08,-0.08,0,3.85,0.13,-0.13,0,2457590.149100,0.008000,-0.009000,0,K2,3.30,0.01,-0.01,0,,,,0
K2-133,b,K2-133 b,3.07120000,0.00010000,-0.00010000,0,0.033000,0.002000,-0.002000,0,,,,0,87.560,0.060,-0.050,0,,,,0,,0.117,0.007,-0.007,0,,,,0,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.33,0.20,-0.20,0,14.288,0.010,0,V (Johnson),13.325,,0,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2457821.316800,0.001100,-0.001400,0,K2,,,,0,-1.444,0.077,-0.094,0
K2-133,c,K2-133 c,4.86820000,0.00010000,-0.00030000,0,0.045000,0.003000,-0.003000,0,,,,0,88.650,0.080,-0.160,0,,,,0,,0.132,0.008,-0.008,0,,,,0,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.33,0.20,-0.20,0,14.288,0.010,0,V (Johnson),13.325,,0,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2457823.765600,0.002300,-0.000900,0,K2,,,,0,-1.444,0.077,-0.094,0
K2-133,d,K2-133 d,11.02340000,0.00080000,-0.00030000,0,0.077000,0.005000,-0.005000,0,,,,0,89.520,0.150,-0.060,0,,,,0,,0.180,0.012,-0.012,0,,,,0,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.33,0.20,-0.20,0,14.288,0.010,0,V (Johnson),13.325,,0,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2457826.173900,0.000700,-0.001300,0,K2,,,,0,-1.444,0.077,-0.094,0
K2-136,b,K2-136 b,7.97529200,0.00083300,-0.00077000,0,,,,0,0.100000,0.190000,-0.070000,0,89.300,0.500,-0.700,0,,,,0,,0.088,0.005,-0.004,0,,,,0,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.900,0.100,0,Kepler-band,10.855,,0,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2457817.756310,0.004690,-0.004890,0,K2,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0
K2-136,c,K2-136 c,17.30713700,0.00025200,-0.00028400,0,,,,0,0.130000,0.270000,-0.110000,0,89.600,0.300,-0.300,0,,,,0,,0.260,0.010,-0.009,0,,,,0,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.900,0.100,0,Kepler-band,10.855,,0,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2457812.717700,0.001000,-0.000770,0,K2,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0
K2-136,d,K2-136 d,25.57506500,0.00241800,-0.00235700,0,,,,0,0.140000,0.130000,-0.090000,0,89.400,0.400,-0.200,0,,,,0,,0.129,0.010,-0.007,0,,,,0,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.900,0.100,0,Kepler-band,10.855,,0,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2457780.811640,0.006430,-0.006600,0,K2,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0
K2-137,b,K2-137 b,0.17971500,0.00000100,-0.00000100,0,0.005800,0.000600,-0.000600,0,0.000000,,,0,89.600,3.300,-3.300,0,0.50000,,,1,Mass,0.079,0.008,-0.008,0,,,,0,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,99.15,0.61,-0.61,0,15.498,0.054,0,V (Johnson),14.435,,0,3492.00,70.00,-70.00,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,2457583.024200,0.000400,-0.000400,0,K2,4.82,0.04,-0.04,0,,,,0
K2-138,b,K2-138 b,2.35322000,0.00036000,-0.00036000,0,0.033800,0.000240,-0.000240,0,0.403000,,,1,86.900,2.200,-4.600,0,,,,0,,0.140,0.025,-0.015,0,,,,0,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),12.025,,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2457773.317000,0.003700,-0.003800,0,K2,4.59,0.07,-0.07,0,,,,0
K2-138,c,K2-138 c,3.55987000,0.00023000,-0.00022000,0,0.044540,0.000320,-0.000320,0,0.296000,,,1,87.500,1.800,-3.300,0,,,,0,,0.225,0.030,-0.014,0,,,,0,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),12.025,,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2457740.322300,0.002500,-0.002700,0,K2,4.59,0.07,-0.07,0,,,,0
K2-138,d,K2-138 d,5.40478000,0.00048000,-0.00046000,0,0.058830,0.000420,-0.000420,0,0.348000,,,1,87.900,1.500,-2.800,0,,,,0,,0.237,0.035,-0.016,0,,,,0,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),12.025,,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2457743.160700,0.003600,-0.003700,0,K2,4.59,0.07,-0.07,0,,,,0
K2-138,e,K2-138 e,8.26144000,0.00045000,-0.00044000,0,0.078070,0.000560,-0.000560,0,0.315000,,,1,88.700,0.930,-1.660,0,,,,0,,0.294,0.031,-0.016,0,,,,0,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),12.025,,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2457740.645100,0.002000,-0.002100,0,K2,4.59,0.07,-0.07,0,,,,0
K2-138,f,K2-138 f,12.75759000,0.00092000,-0.00092000,0,0.104300,0.000740,-0.000750,0,0.364000,,,1,89.030,0.700,-1.220,0,,,,0,,0.251,0.032,-0.017,0,,,,0,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),12.025,,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2457738.701900,0.003300,-0.003500,0,K2,4.59,0.07,-0.07,0,,,,0
K2-139,b,K2-139 b,28.38061900,0.00055100,-0.00052800,0,0.179600,0.001500,-0.001500,0,,,,0,,,,0,,,,0,,0.813,0.015,-0.015,0,,,,0,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,154.60,0.94,-0.94,0,11.653,0.137,0,V (Johnson),11.463,,0,5370.00,68.00,-68.00,0,0.96,0.02,-0.02,0,0.88,0.01,-0.01,0,2457325.817500,0.000580,-0.000590,0,K2,4.54,0.02,-0.02,0,,,,0
K2-14,b,K2-14 b,8.36802000,0.00019000,-0.00019000,0,0.062700,0.000600,-0.000600,0,,,,,,,,,,,,,,0.429,0.037,-0.037,0,,,,,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,367.72,8.20,-8.20,0,16.310,0.070,0,V (Johnson),15.535,,0,3789.00,17.00,-16.00,0,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,2456811.451300,0.001300,-0.001300,0,K2,,,,,,,,
K2-140,b,K2-140 b,6.56918000,0.00004000,-0.00004000,0,0.068700,0.000500,-0.000500,0,,,,0,,,,0,,,,0,,1.093,0.015,-0.015,0,,,,0,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,341.60,5.50,-5.10,0,12.624,0.030,0,V (Johnson),12.481,,0,5705.00,50.00,-48.00,0,1.00,0.02,-0.02,0,0.99,0.01,-0.01,0,2457588.285100,0.000200,-0.000200,0,K2,4.45,0.01,-0.01,0,,,,0
K2-141,b,K2-141 b,0.28032440,0.00000150,-0.00000150,0,,,,0,0.000000,,,0,86.300,2.700,-3.600,0,0.01598,0.00129,-0.00129,0,Mass,0.135,0.004,-0.004,0,8.20000,1.10000,-1.10000,0,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),10.722,,0,4599.00,79.00,-79.00,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,2457744.071600,0.000220,-0.000220,0,K2,4.62,0.02,-0.03,0,-0.750,0.040,-0.040,0
K2-141,c,K2-141 c,7.74850000,0.00022000,-0.00022000,0,,,,0,0.000000,,,0,87.200,1.600,-2.000,0,0.02328,,,1,Mass,0.624,0.410,-0.250,0,,,,0,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),10.722,,0,4599.00,79.00,-79.00,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,2457751.154600,0.001000,-0.001000,0,K2,4.62,0.02,-0.03,0,-0.750,0.040,-0.040,0
K2-146,b,K2-146 b,2.64466100,0.00013200,-0.00013000,0,0.025900,0.000200,-0.000200,0,,,,0,,,,0,,,,0,,0.192,0.077,-0.077,0,,,,0,1,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,79.50,0.48,-0.48,0,16.248,0.072,0,V (Johnson),14.983,,0,3398.00,47.00,-47.00,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,2457144.642330,0.001690,-0.001760,0,K2,4.92,0.01,-0.01,0,,,,0
K2-147,b,K2-147 b,0.96191700,0.00002600,-0.00002600,0,0.015900,0.000500,-0.000500,0,,,,0,,,,0,,,,0,,0.123,0.015,-0.013,0,,,,0,0,19h35m19.97s,293.833191,-28d29m52.2s,-28.497833,88.00,13.00,-13.00,0,14.019,0.030,0,V (Johnson),13.191,,0,3672.00,70.00,-70.00,0,0.58,0.06,-0.06,0,0.55,0.06,-0.06,0,2457301.946160,0.001250,-0.001250,0,K2,4.72,0.05,-0.05,0,-1.292,0.085,-0.106,0
K2-148,b,K2-148 b,4.38395000,0.00080000,-0.00080000,0,0.045400,0.001400,-0.001400,0,,,,0,,,,0,,,,0,,0.119,0.017,-0.016,0,,,,0,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,13.507,0.070,0,V (Johnson),13.060,,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2457390.059560,0.009610,-0.009610,0,K2,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0
